child,parent,source
us-gaap:IncomeTaxReconciliationNondeductibleExpenseResearchAndDevelopment,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationNondeductibleExpenseRestructuringCharges,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,us-gaap:IncomeTaxExpenseBenefit,auto
us-gaap:IndefiniteLivedIntangibleAssets,us-gaap:NoncurrentAssets,auto
us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwill,us-gaap:NoncurrentAssets,auto
us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwillFairValueDisclosure,us-gaap:NoncurrentAssets,auto
us-gaap:IndefiniteLivedIntangibleAssetsPeriodIncreaseDecrease,us-gaap:NoncurrentAssets,auto
us-gaap:IndefiniteLivedIntangibleAssetsTranslationAndPurchaseAccountingAdjustments,us-gaap:NoncurrentAssets,auto
us-gaap:IndefinitelivedIntangibleAssetsAcquired,us-gaap:NoncurrentAssets,auto
us-gaap:InterestExpense,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseDebt,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseDebtExcludingAmortization,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseDeposits,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseLongTermDebt,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseNonoperating,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseOperating,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseOther,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseShortTermBorrowings,us-gaap:InterestExpense,auto
us-gaap:InterestExpenseTradingLiabilities,us-gaap:InterestExpense,auto
us-gaap:InventoryAdjustments,us-gaap:CurrentAssets,auto
us-gaap:InventoryCrudeOilProductsAndMerchandise,us-gaap:CurrentAssets,auto
us-gaap:InventoryFinishedGoods,us-gaap:CurrentAssets,auto
us-gaap:InventoryFinishedGoodsAndWorkInProcess,us-gaap:CurrentAssets,auto
us-gaap:InventoryFinishedGoodsNetOfReserves,us-gaap:CurrentAssets,auto
us-gaap:InventoryGross,us-gaap:CurrentAssets,auto
us-gaap:InventoryLIFOReserve,us-gaap:CurrentAssets,auto
us-gaap:InventoryLIFOReserveEffectOnIncomeNet,us-gaap:CurrentAssets,auto
us-gaap:InventoryLIFOReservePeriodCharge,us-gaap:CurrentAssets,auto
us-gaap:InventoryNet,us-gaap:CurrentAssets,auto
us-gaap:InventoryNoncurrent,us-gaap:CurrentAssets,auto
us-gaap:InventoryPartsAndComponentsNetOfReserves,us-gaap:CurrentAssets,auto
us-gaap:InventoryRawMaterials,us-gaap:CurrentAssets,auto
us-gaap:InventoryRawMaterialsAndSupplies,us-gaap:CurrentAssets,auto
us-gaap:InventoryRawMaterialsAndSuppliesNetOfReserves,us-gaap:CurrentAssets,auto
us-gaap:InventoryRawMaterialsNetOfReserves,us-gaap:CurrentAssets,auto
us-gaap:InventoryValuationReserves,us-gaap:CurrentAssets,auto
us-gaap:InventoryWorkInProcess,us-gaap:CurrentAssets,auto
us-gaap:InventoryWorkInProcessAndRawMaterials,us-gaap:CurrentAssets,auto
us-gaap:InventoryWorkInProcessAndRawMaterialsNetOfReserves,us-gaap:CurrentAssets,auto
us-gaap:InventoryWorkInProcessNetOfReserves,us-gaap:CurrentAssets,auto
us-gaap:InventoryWriteDown,us-gaap:CurrentAssets,auto
us-gaap:LongTermDebtNoncurrent,us-gaap:NoncurrentLiabilities,auto
us-gaap:NetIncomeLoss,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossAttributableToNoncontrollingInterest,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossAttributableToNonredeemableNoncontrollingInterest,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossAttributableToParentDiluted,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossAttributableToRedeemableNoncontrollingInterest,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossAvailableToCommonStockholdersDiluted,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,us-gaap:NetIncomeLoss,auto
us-gaap:NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersDiluted,us-gaap:NetIncomeLoss,auto
