parent,child,source
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,auto
us-gaap:Liabilities,us-gaap:DeferredIncomeTaxLiabilitiesNet,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,auto
us-gaap:Assets,us-gaap:IntangibleAssetsGrossExcludingGoodwill,auto
us-gaap:OperatingExpenses,us-gaap:OtherPrepaidExpenseCurrent,auto
us-gaap:Liabilities,us-gaap:TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiabilityNoncurrent,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsInProcessResearchAndDevelopment,auto
us-gaap:Assets,us-gaap:IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsForeign,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,auto
us-gaap:Assets,us-gaap:ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,auto
us-gaap:Liabilities,us-gaap:AccruedLiabilitiesCurrentAndNoncurrent,auto
us-gaap:Assets,us-gaap:AssetAcquisitionContingentConsiderationLiability,auto
us-gaap:OperatingExpenses,us-gaap:OtherIncomeTaxExpenseBenefitContinuingOperations,auto
us-gaap:OperatingExpenses,us-gaap:AdvertisingExpense,auto
us-gaap:Liabilities,us-gaap:AirTrafficLiabilityCurrent,auto
us-gaap:Assets,us-gaap:AssetsFairValueDisclosureRecurring,auto
us-gaap:Liabilities,us-gaap:BusinessCombinationContingentConsiderationLiability,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,auto
us-gaap:Assets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,auto
us-gaap:Assets,us-gaap:CapitalLeasesBalanceSheetAssetsByMajorClassNet,auto
us-gaap:Assets,us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentAccumulatedDepreciation,auto
us-gaap:Assets,us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentGross,auto
us-gaap:Assets,us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassFlightEquipmentNet,auto
us-gaap:Assets,us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipment,auto
us-gaap:Assets,us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipmentNet,auto
us-gaap:Revenues,us-gaap:CargoAndFreightRevenue,auto
us-gaap:Assets,us-gaap:CashFlowHedgeDerivativeInstrumentAssetsAtFairValue,auto
us-gaap:Liabilities,us-gaap:CashFlowHedgeDerivativeInstrumentLiabilitiesAtFairValue,auto
us-gaap:Liabilities,us-gaap:ContractualInterestExpenseOnPrepetitionLiabilitiesNotRecognizedInStatementOfOperations,auto
us-gaap:Liabilities,us-gaap:ContractWithCustomerLiabilityNoncurrent,auto
us-gaap:OperatingExpenses,us-gaap:DebtorReorganizationItemsOtherExpenseIncome,auto
us-gaap:Revenues,us-gaap:DeferredAirTrafficRevenue,auto
us-gaap:Liabilities,us-gaap:DeferredCompensationLiabilityCurrentAndNoncurrent,auto
us-gaap:Liabilities,us-gaap:DeferredCreditsAndOtherLiabilities,auto
us-gaap:Liabilities,us-gaap:DeferredCreditsAndOtherLiabilitiesNoncurrent,auto
us-gaap:Revenues,us-gaap:DeferredRevenueAndCreditsNoncurrent,auto
us-gaap:Revenues,us-gaap:DeferredRevenueNoncurrent,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsDeferredGainOnSaleLeasebackTransaction,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsFrequentFlierLiability,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsOther,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,auto
us-gaap:Assets,us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,auto
us-gaap:Assets,us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,auto
us-gaap:Liabilities,us-gaap:DeferredTaxLiabilitiesLeasingArrangements,auto
us-gaap:Assets,us-gaap:DefinedBenefitPlanAssetsTransferredToFromPlan,auto
us-gaap:Assets,us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,auto
us-gaap:Assets,us-gaap:DefinedBenefitPlanFairValueOfPlanAssets,auto
us-gaap:Assets,us-gaap:DefinedBenefitPlanForeignCurrencyExchangeRateChangesPlanAssets,auto
us-gaap:Assets,us-gaap:DerivativeAssetCollateralObligationToReturnCashOffset,auto
us-gaap:Assets,us-gaap:DerivativeFairValueOfDerivativeAsset,auto
us-gaap:Assets,us-gaap:DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,auto
us-gaap:Liabilities,us-gaap:DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,auto
us-gaap:OperatingExpenses,us-gaap:FinanceLeaseInterestExpense,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseInterestPaymentOnLiability,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiability,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityCurrent,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityNoncurrent,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityPaymentsDue,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityPaymentsDueAfterYearFive,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityPaymentsDueYearFive,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityPaymentsDueYearFour,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityPaymentsDueYearThree,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityPaymentsDueYearTwo,auto
us-gaap:Liabilities,us-gaap:FinanceLeaseLiabilityUndiscountedExcessAmount,auto
us-gaap:Assets,us-gaap:FinanceLeaseRightOfUseAsset,auto
us-gaap:Assets,us-gaap:FinanceLeaseRightOfUseAssetAccumulatedAmortization,auto
us-gaap:Assets,us-gaap:FinanceLeaseRightOfUseAssetAmortization,auto
us-gaap:Assets,us-gaap:FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization,auto
us-gaap:Assets,us-gaap:FiniteLivedIntangibleAssetsUsefulLife,auto
us-gaap:Liabilities,us-gaap:FrequentFlierLiabilityCurrent,auto
us-gaap:Liabilities,us-gaap:FrequentFlierLiabilityNoncurrent,auto
us-gaap:Assets,us-gaap:GainLossOnDispositionOfAssets,auto
us-gaap:Assets,us-gaap:GainLossOnDispositionOfIntangibleAssets,auto
us-gaap:Assets,us-gaap:GainsLossesOnSalesOfAssets,auto
us-gaap:Assets,us-gaap:ImpairmentOfLongLivedAssetsToBeDisposedOf,auto
us-gaap:OperatingExpenses,us-gaap:IncomeTaxReconciliationNondeductibleExpense,auto
us-gaap:OperatingExpenses,us-gaap:IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,auto
us-gaap:Liabilities,us-gaap:IncreaseDecreaseInAirTrafficLiability,auto
us-gaap:Liabilities,us-gaap:IncreaseDecreaseInAirTrafficLiability1,auto
us-gaap:Assets,us-gaap:IncreaseDecreaseInCommodityContractAssetsAndLiabilities,auto
us-gaap:Liabilities,us-gaap:IncreaseDecreaseInFrequentFlyerLiability,auto
us-gaap:Assets,us-gaap:IncreaseDecreaseInOtherCurrentAssets,auto
us-gaap:Assets,us-gaap:IndefiniteLivedIntangibleAssets,auto
us-gaap:Assets,us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwill,auto
us-gaap:OperatingExpenses,us-gaap:LaborAndRelatedExpense,auto
us-gaap:Liabilities,us-gaap:LiabilitiesSubjectToCompromiseAccountsPayableAndAccruedLiabilities,auto
